Ticker  ,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group          ,Breakeven Price
BAB     ,8440      ,13250     ,14700     ,15400     ,C              ,13250
ACB     ,13950     ,20450     ,22200     ,23100     ,A              ,23100
BID     ,21400     ,29500     ,31650     ,32700     ,A              ,32700
NVB     ,11100     ,17150     ,18900     ,19750     ,C              ,17150
CTG     ,12000     ,18550     ,20400     ,21350     ,B              ,20400
SHB     ,6750      ,11500     ,12850     ,13600     ,C              ,11500
EIB     ,6560      ,12100     ,13700     ,14550     ,C              ,12100
AAV     ,8720      ,13650     ,15300     ,16200     ,B              ,15300
HDB     ,11550     ,17600     ,19250     ,20100     ,C              ,17600
ACM     ,520       ,1220      ,1450      ,1580      ,D              ,520
LPB     ,5380      ,9790      ,11150     ,11900     ,C              ,9790
ADC     ,1270      ,4520      ,5880      ,6660      ,B              ,5880
MBB     ,9640      ,15500     ,17150     ,18000     ,A              ,18000
ALT     ,1630      ,4500      ,5620      ,6250      ,B              ,5620
MSB     ,9720      ,14700     ,16000     ,16750     ,A              ,16750
AMC     ,5830      ,11750     ,13550     ,14500     ,B              ,13550
OCB     ,10650     ,16100     ,17550     ,18400     ,A              ,18400
AME     ,3370      ,5620      ,6360      ,6760      ,C              ,5620
SSB     ,19050     ,26750     ,28950     ,30050     ,C              ,26750
AMV     ,4740      ,7720      ,8570      ,9010      ,A              ,9010
STB     ,6990      ,12750     ,14550     ,15500     ,C              ,12750
API     ,10500     ,25250     ,30550     ,33500     ,C              ,25250
TCB     ,24200     ,33950     ,36600     ,37850     ,A              ,37850
APP     ,730       ,2470      ,3140      ,3540      ,B              ,3140
TPB     ,14200     ,24200     ,27100     ,28700     ,A              ,28700
ARM     ,19550     ,29350     ,32000     ,33400     ,C              ,29350
VCB     ,48900     ,67600     ,72100     ,74300     ,A              ,74300
ASG     ,15150     ,20000     ,21200     ,21800     ,B              ,21200
VIB     ,15350     ,24150     ,26600     ,27950     ,C              ,24150
ATS     ,20750     ,25750     ,26900     ,27600     ,B              ,26900
VPB     ,8140      ,15450     ,17700     ,18950     ,A              ,18950
BAX     ,31800     ,44850     ,48700     ,50800     ,A              ,50800
AAA     ,4130      ,7800      ,8900      ,9470      ,B              ,8900
BBS     ,3920      ,6900      ,7760      ,8200      ,D              ,3920
AAM     ,2590      ,5180      ,5980      ,6400      ,B              ,5980
BCC     ,3690      ,8840      ,10600     ,11500     ,B              ,10600
AAT     ,7250      ,11150     ,12300     ,12900     ,A              ,12900
BCF     ,16900     ,24350     ,26300     ,27350     ,A              ,27350
ABS     ,5430      ,10400     ,12000     ,12850     ,B              ,12000
BDB     ,3290      ,6160      ,6980      ,7410      ,B              ,6980
ABT     ,16200     ,23500     ,25350     ,26300     ,B              ,25350
BED     ,20250     ,28850     ,31400     ,32650     ,A              ,32650
ACC     ,13600     ,18000     ,19300     ,20000     ,C              ,18000
BII     ,2740      ,5950      ,6940      ,7590      ,A              ,7590
ACL     ,7240      ,10600     ,11500     ,12000     ,B              ,11500
BKC     ,940       ,2400      ,2900      ,3180      ,D              ,940
ADG     ,23350     ,31900     ,34050     ,35200     ,B              ,34050
BLF     ,2580      ,3700      ,3990      ,4170      ,D              ,2580
ADS     ,15650     ,22550     ,24600     ,25500     ,C              ,22550
BNA     ,17850     ,27050     ,29650     ,31050     ,B              ,29650
AGG     ,26500     ,34450     ,36450     ,37600     ,B              ,36450
BPC     ,4200      ,7350      ,8270      ,8800      ,B              ,8270
AGM     ,5290      ,12450     ,14850     ,16200     ,B              ,14850
BSC     ,8050      ,11250     ,12050     ,12500     ,Not enough data,8050
AMD     ,1110      ,2560      ,3040      ,3300      ,B              ,3040
BST     ,1940      ,4970      ,6120      ,6830      ,B              ,6120
ANV     ,7010      ,14250     ,16500     ,17650     ,C              ,14250
BTS     ,1700      ,3880      ,4650      ,5120      ,B              ,4650
APC     ,6410      ,11750     ,13300     ,14100     ,B              ,13300
BTW     ,8480      ,15250     ,17300     ,18400     ,A              ,18400
APH     ,9150      ,15600     ,17400     ,18450     ,B              ,17400
BXH     ,7900      ,10500     ,11150     ,11500     ,B              ,11150
ASM     ,4320      ,8400      ,9780      ,10600     ,B              ,9780
C69     ,3480      ,7220      ,8440      ,9130      ,Not enough data,3480
ASP     ,3640      ,6210      ,6990      ,7440      ,C              ,6210
C92     ,830       ,2180      ,2650      ,2920      ,C              ,2180
AST     ,28300     ,37000     ,39100     ,40300     ,C              ,37000
CAG     ,3070      ,6920      ,8200      ,8970      ,A              ,8970
BBC     ,12800     ,25450     ,29650     ,32150     ,B              ,29650
CAN     ,15550     ,29900     ,34600     ,36900     ,B              ,34600
BCE     ,4820      ,8460      ,9700      ,10350     ,B              ,9700
CAP     ,59000     ,69400     ,72900     ,74600     ,B              ,72900
BCG     ,8710      ,14250     ,15900     ,16800     ,B              ,15900
CDN     ,10800     ,15950     ,17750     ,18750     ,Not enough data,10800
BCM     ,25850     ,35100     ,38050     ,39600     ,B              ,38050
CEO     ,5240      ,11450     ,14200     ,15750     ,D              ,5240
BFC     ,7920      ,15300     ,17500     ,18650     ,B              ,17500
CET     ,860       ,2430      ,3010      ,3330      ,B              ,3010
BHN     ,26500     ,36000     ,39050     ,40600     ,A              ,40600
CIA     ,5300      ,8240      ,9070      ,9500      ,Not enough data,5300
BKG     ,3270      ,5790      ,6550      ,6960      ,B              ,6550
CJC     ,5060      ,8270      ,9180      ,9660      ,D              ,5060
BMC     ,4220      ,9390      ,11100     ,12000     ,A              ,12000
CKV     ,4800      ,7290      ,7990      ,8340      ,A              ,8340
BMP     ,32750     ,41600     ,43800     ,44900     ,A              ,44900
CLH     ,15300     ,20050     ,21250     ,21900     ,A              ,21900
BRC     ,7780      ,10800     ,11700     ,12150     ,B              ,11700
CLM     ,6360      ,12750     ,14600     ,15600     ,B              ,14600
BTP     ,7510      ,10750     ,11600     ,12050     ,B              ,11600
CMC     ,1660      ,4190      ,5070      ,5550      ,C              ,4190
BTT     ,17300     ,24650     ,26600     ,27650     ,A              ,27650
CMS     ,2670      ,8240      ,10350     ,11650     ,C              ,8240
BWE     ,24150     ,32700     ,34750     ,36050     ,C              ,32700
CPC     ,7740      ,13100     ,14550     ,15350     ,B              ,14550
C32     ,16000     ,21550     ,23300     ,24200     ,B              ,23300
CSC     ,62900     ,91400     ,98700     ,103100    ,C              ,91400
C47     ,5580      ,10600     ,12100     ,12900     ,C              ,10600
CTB     ,11700     ,16650     ,18200     ,19000     ,C              ,16650
CAV     ,29950     ,39500     ,41900     ,43150     ,B              ,41900
CTC     ,810       ,2230      ,2760      ,3050      ,C              ,2230
CCI     ,4050      ,9110      ,10750     ,11650     ,A              ,11650
CTP     ,950       ,2540      ,3110      ,3420      ,B              ,3110
CCL     ,2930      ,6520      ,7690      ,8320      ,B              ,7690
CTT     ,5150      ,7380      ,8170      ,8580      ,C              ,7380
CDC     ,5420      ,8650      ,9550      ,10050     ,C              ,8650
CTX     ,3340      ,5640      ,6290      ,6660      ,C              ,5640
CEE     ,2800      ,5930      ,6930      ,7450      ,C              ,5930
CVN     ,4130      ,6330      ,7020      ,7390      ,A              ,7390
CHP     ,14500     ,17650     ,18450     ,18800     ,C              ,17650
CX8     ,2900      ,4520      ,4970      ,5230      ,C              ,4520
CIG     ,3980      ,6930      ,7930      ,8490      ,D              ,3980
D11     ,10650     ,19050     ,21450     ,22700     ,Not enough data,10650
CII     ,7340      ,13600     ,15450     ,16400     ,C              ,13600
DAD     ,9200      ,14650     ,16050     ,16950     ,A              ,16950
CKG     ,8620      ,17050     ,19600     ,20950     ,C              ,17050
DAE     ,8010      ,12750     ,14300     ,15050     ,A              ,15050
CLC     ,18050     ,25200     ,26950     ,27800     ,A              ,27800
DC2     ,4310      ,7420      ,8290      ,8840      ,C              ,7420
CLL     ,16400     ,22350     ,24000     ,24850     ,A              ,24850
DDG     ,21950     ,25550     ,26450     ,26900     ,C              ,25550
CLW     ,11350     ,18500     ,20400     ,21450     ,A              ,21450
DHP     ,6560      ,8780      ,9330      ,9660      ,A              ,9660
CMG     ,31050     ,41800     ,45150     ,46750     ,B              ,45150
DHT     ,30750     ,35950     ,37200     ,37800     ,B              ,37200
CMV     ,3530      ,6550      ,7500      ,8000      ,A              ,8000
DIH     ,4750      ,13750     ,17100     ,19000     ,C              ,13750
CMX     ,4610      ,8670      ,10000     ,10800     ,B              ,10000
DL1     ,1060      ,3250      ,4100      ,4570      ,B              ,4100
CNG     ,8850      ,14750     ,16550     ,17600     ,A              ,17600
DNC     ,11950     ,25450     ,29650     ,31800     ,A              ,31800
COM     ,11850     ,20500     ,22700     ,23950     ,A              ,23950
DNM     ,12600     ,20600     ,22950     ,24150     ,C              ,20600
CRC     ,1960      ,4280      ,5010      ,5420      ,D              ,1960
DNP     ,6350      ,10350     ,11550     ,12250     ,C              ,10350
CRE     ,9050      ,16950     ,19450     ,20750     ,A              ,20750
DP3     ,50300     ,70000     ,76200     ,79400     ,A              ,79400
CSM     ,8880      ,12200     ,13150     ,13700     ,C              ,12200
DPC     ,2540      ,6540      ,8000      ,8900      ,A              ,8900
CSV     ,12500     ,22000     ,24800     ,26450     ,A              ,26450
DS3     ,1160      ,2960      ,3580      ,3930      ,A              ,3930
CTD     ,42000     ,58400     ,62800     ,65100     ,A              ,65100
DST     ,720       ,2180      ,2740      ,3050      ,B              ,2740
CTF     ,11450     ,14500     ,15200     ,15600     ,B              ,15200
DTD     ,17450     ,28700     ,31950     ,33700     ,A              ,33700
CTI     ,5720      ,10700     ,12200     ,13000     ,C              ,10700
DTK     ,4280      ,7470      ,8370      ,8920      ,Not enough data,4280
CVT     ,20900     ,30550     ,33150     ,34500     ,B              ,33150
DVG     ,4720      ,9540      ,11000     ,11900     ,B              ,11000
D2D     ,27000     ,39850     ,43000     ,44650     ,A              ,44650
DXP     ,7270      ,11650     ,13000     ,13700     ,A              ,13700
DAG     ,4070      ,7020      ,7910      ,8420      ,D              ,4070
DZM     ,1450      ,3110      ,3740      ,4100      ,D              ,1450
DAH     ,2720      ,5050      ,5790      ,6160      ,C              ,5050
EBS     ,6110      ,8060      ,8530      ,8820      ,B              ,8530
DAT     ,4230      ,9200      ,10800     ,11650     ,B              ,10800
ECI     ,10400     ,15400     ,16950     ,17700     ,A              ,17700
DBC     ,32400     ,48650     ,53000     ,55400     ,B              ,53000
EID     ,12500     ,16900     ,18050     ,18700     ,A              ,18700
DBD     ,29900     ,38200     ,40200     ,41300     ,A              ,41300
FID     ,2100      ,4050      ,4700      ,5040      ,A              ,5040
DBT     ,4000      ,7050      ,8080      ,8650      ,C              ,7050
GDW     ,1820      ,5960      ,7610      ,8550      ,A              ,8550
DC4     ,10100     ,14500     ,15750     ,16350     ,B              ,15750
GIC     ,8720      ,13050     ,14250     ,14850     ,A              ,14850
DCL     ,10200     ,17800     ,20100     ,21350     ,C              ,17800
GKM     ,15950     ,23000     ,25100     ,26050     ,B              ,25100
DCM     ,7970      ,15700     ,18050     ,19300     ,A              ,19300
GLT     ,12100     ,18950     ,21250     ,22350     ,A              ,22350
DGC     ,89900     ,122000    ,132900    ,137700    ,A              ,137700
GMA     ,33800     ,44250     ,46950     ,48350     ,B              ,46950
DGW     ,21600     ,47100     ,55700     ,60600     ,A              ,60600
GMX     ,6660      ,11350     ,12600     ,13250     ,B              ,12600
DHA     ,28050     ,37050     ,39350     ,40550     ,A              ,40550
HAD     ,8000      ,11200     ,12050     ,12500     ,A              ,12500
DHC     ,41350     ,58000     ,62100     ,64700     ,A              ,64700
HAT     ,8660      ,12650     ,13700     ,14300     ,B              ,13700
DHG     ,77700     ,98700     ,103700    ,106600    ,A              ,106600
HCC     ,7050      ,9210      ,9800      ,10100     ,B              ,9800
DHM     ,7480      ,9510      ,9980      ,10250     ,B              ,9980
HCT     ,5330      ,8520      ,9700      ,10350     ,A              ,10350
DIG     ,25400     ,41050     ,45600     ,48100     ,C              ,41050
HDA     ,15700     ,20500     ,21700     ,22400     ,B              ,21700
DLG     ,2320      ,3980      ,4480      ,4780      ,D              ,2320
HEV     ,1240      ,4300      ,5570      ,6290      ,B              ,5570
DMC     ,26650     ,35700     ,37900     ,39150     ,A              ,39150
HGM     ,16900     ,25500     ,28050     ,29500     ,A              ,29500
DPG     ,24900     ,42150     ,47350     ,50300     ,B              ,47350
HHC     ,15200     ,29800     ,34400     ,36900     ,D              ,15200
DPM     ,12600     ,22300     ,25250     ,27000     ,A              ,27000
HHG     ,2090      ,3990      ,4610      ,4960      ,C              ,3990
DPR     ,42400     ,56000     ,60000     ,62100     ,A              ,62100
HJS     ,12950     ,18600     ,20500     ,21450     ,A              ,21450
DQC     ,12500     ,18050     ,19550     ,20400     ,C              ,18050
HKT     ,1170      ,2670      ,3170      ,3440      ,B              ,3170
DRC     ,9000      ,16150     ,18250     ,19300     ,A              ,19300
HLC     ,1860      ,4260      ,5130      ,5650      ,D              ,1860
DRH     ,6460      ,11550     ,13100     ,13850     ,C              ,11550
HLD     ,15600     ,23700     ,26000     ,27200     ,B              ,26000
DRL     ,36300     ,47400     ,49900     ,51300     ,A              ,51300
HMH     ,7500      ,10850     ,11750     ,12250     ,A              ,12250
DSN     ,29800     ,35950     ,37800     ,38750     ,A              ,38750
HOM     ,3150      ,5160      ,5780      ,6140      ,C              ,5160
DTA     ,4410      ,9250      ,10800     ,11600     ,C              ,9250
HPM     ,5670      ,7260      ,7650      ,7850      ,B              ,7650
DTL     ,22000     ,27250     ,28850     ,29550     ,C              ,27250
HTC     ,14200     ,20550     ,22200     ,23100     ,A              ,23100
DTT     ,9080      ,11500     ,12250     ,12600     ,B              ,12250
HTP     ,1860      ,6650      ,8590      ,9780      ,C              ,6650
DVP     ,32400     ,43050     ,45600     ,47200     ,A              ,47200
HUT     ,2150      ,5540      ,6730      ,7390      ,C              ,5540
DXG     ,6720      ,13700     ,15850     ,17000     ,A              ,17000
HVT     ,24500     ,35450     ,38900     ,40600     ,B              ,38900
DXS     ,9260      ,17000     ,19450     ,20700     ,A              ,20700
ICG     ,5350      ,8480      ,9510      ,10050     ,C              ,8480
DXV     ,1180      ,2600      ,3070      ,3320      ,B              ,3070
IDC     ,14850     ,32200     ,38100     ,41300     ,C              ,32200
E1VFVN30,15950     ,19900     ,20850     ,21400     ,Not enough data,15950
IDJ     ,8210      ,17850     ,21200     ,23200     ,C              ,17850
ELC     ,6890      ,12850     ,14600     ,15500     ,B              ,14600
IDV     ,27700     ,40700     ,44200     ,46100     ,Not enough data,27700
EMC     ,6030      ,10050     ,11050     ,11650     ,C              ,10050
INC     ,2590      ,5050      ,5760      ,6160      ,B              ,5760
EVE     ,4330      ,7860      ,8950      ,9530      ,B              ,8950
INN     ,19250     ,26500     ,28350     ,29300     ,B              ,28350
EVG     ,6140      ,9670      ,10850     ,11550     ,A              ,11550
ITQ     ,760       ,2330      ,2940      ,3280      ,B              ,2940
FCM     ,2480      ,4570      ,5190      ,5520      ,B              ,5190
KDM     ,1200      ,3160      ,3860      ,4250      ,A              ,4250
FCN     ,5440      ,10800     ,12400     ,13300     ,C              ,10800
KHS     ,3160      ,7880      ,9760      ,10900     ,B              ,9760
FDC     ,2520      ,5740      ,6790      ,7380      ,B              ,6790
KKC     ,2730      ,7430      ,9160      ,10150     ,A              ,10150
FIR     ,25400     ,32350     ,33950     ,34850     ,A              ,34850
KLF     ,610       ,1870      ,2360      ,2630      ,B              ,2360
FIT     ,3340      ,6520      ,7440      ,7920      ,A              ,7920
KMT     ,3320      ,5660      ,6300      ,6630      ,B              ,6300
FLC     ,5150      ,8860      ,9830      ,10450     ,B              ,9830
KSD     ,820       ,2150      ,2620      ,2880      ,B              ,2620
FMC     ,24150     ,35250     ,38050     ,39550     ,B              ,38050
KSF     ,18650     ,35200     ,40000     ,42900     ,Not enough data,18650
FPT     ,52800     ,69200     ,73500     ,75700     ,A              ,75700
KSQ     ,2010      ,3610      ,4220      ,4590      ,A              ,4590
FRT     ,16950     ,32650     ,37400     ,39850     ,B              ,37400
KST     ,11100     ,16350     ,17700     ,18400     ,A              ,18400
FTM     ,1750      ,3240      ,3680      ,3940      ,D              ,1750
KTS     ,2310      ,6230      ,7650      ,8430      ,C              ,6230
FUCTVGF2,5800      ,9290      ,10200     ,10700     ,Not enough data,5800
KTT     ,1140      ,3540      ,4460      ,4980      ,C              ,3540
FUCVREIT,2230      ,4380      ,5110      ,5540      ,Not enough data,2230
KVC     ,1500      ,3180      ,3760      ,4100      ,C              ,3180
FUEMAV30,10650     ,13450     ,14150     ,14550     ,Not enough data,10650
FUESSV30,8790      ,12650     ,13650     ,14150     ,Not enough data,8790
L14     ,42050     ,92800     ,110900    ,120700    ,A              ,120700
FUESSV50,14600     ,17900     ,18700     ,19100     ,Not enough data,14600
L18     ,5510      ,15000     ,18500     ,20500     ,C              ,15000
FUESSVFL,11600     ,15400     ,16450     ,16900     ,Not enough data,11600
L35     ,1980      ,3500      ,3960      ,4200      ,D              ,1980
FUEVFVND,17750     ,21650     ,22700     ,23150     ,Not enough data,17750
L40     ,9030      ,16550     ,18850     ,20200     ,C              ,16550
FUEVN100,12150     ,15100     ,15850     ,16250     ,Not enough data,12150
L43     ,670       ,1910      ,2370      ,2630      ,C              ,1910
GAB     ,177300    ,184900    ,186600    ,187400    ,B              ,186600
L61     ,530       ,1790      ,2300      ,2590      ,C              ,1790
GAS     ,42850     ,62200     ,67400     ,69900     ,A              ,69900
L62     ,2650      ,4290      ,4710      ,4940      ,C              ,4290
GDT     ,30300     ,40950     ,43550     ,45150     ,A              ,45150
LAS     ,9780      ,14600     ,16150     ,17000     ,B              ,16150
GEG     ,9050      ,12300     ,13350     ,13950     ,C              ,12300
LBE     ,5350      ,9920      ,11300     ,12050     ,C              ,9920
GEX     ,15050     ,23500     ,25750     ,27150     ,C              ,23500
LCD     ,9480      ,13450     ,14600     ,15100     ,C              ,13450
GIL     ,24500     ,38550     ,42300     ,44550     ,A              ,44550
LCS     ,420       ,1260      ,1570      ,1740      ,D              ,420
GMC     ,5560      ,11350     ,13200     ,14150     ,B              ,13200
LDP     ,9370      ,16250     ,18500     ,19700     ,C              ,16250
GMD     ,13700     ,23900     ,26850     ,28350     ,B              ,26850
LHC     ,45850     ,67600     ,74600     ,78400     ,A              ,78400
GSP     ,6630      ,9900      ,10750     ,11250     ,B              ,10750
LIG     ,2160      ,5430      ,6570      ,7190      ,C              ,5430
GTA     ,3980      ,7380      ,8490      ,9140      ,B              ,8490
LM7     ,1120      ,2780      ,3340      ,3670      ,D              ,1120
GTN     ,5510      ,9620      ,10850     ,11500     ,A              ,11500
LUT     ,1400      ,2700      ,3260      ,3560      ,Not enough data,1400
GVR     ,7620      ,15500     ,17950     ,19250     ,A              ,19250
MAC     ,2720      ,4790      ,5400      ,5750      ,C              ,4790
HAG     ,2930      ,5120      ,5790      ,6170      ,B              ,5790
MAS     ,9600      ,18900     ,21700     ,23100     ,C              ,18900
HAH     ,14750     ,29000     ,33400     ,35700     ,A              ,35700
MBG     ,1310      ,3790      ,4720      ,5240      ,A              ,5240
HAI     ,1210      ,2710      ,3200      ,3470      ,B              ,3200
MCC     ,6670      ,8290      ,8690      ,8880      ,B              ,8690
HAP     ,3060      ,6460      ,7500      ,8060      ,B              ,7500
HAR     ,1800      ,3840      ,4490      ,4840      ,B              ,4490
MCF     ,1440      ,3520      ,4270      ,4670      ,B              ,4270
HAS     ,2840      ,4970      ,5760      ,6180      ,B              ,5760
MCO     ,800       ,2340      ,2920      ,3250      ,C              ,2340
HAX     ,10850     ,17750     ,19600     ,20800     ,A              ,20800
MDC     ,1540      ,3700      ,4440      ,4890      ,C              ,3700
HBC     ,5610      ,10750     ,12500     ,13500     ,C              ,10750
MED     ,13750     ,22500     ,25500     ,27050     ,C              ,22500
HCD     ,2410      ,5180      ,6070      ,6550      ,B              ,6070
MEL     ,6310      ,10450     ,11600     ,12300     ,B              ,11600
HDC     ,44350     ,65900     ,72600     ,75500     ,B              ,72600
MHL     ,510       ,1660      ,2120      ,2370      ,D              ,510
HDG     ,32450     ,48450     ,52700     ,54900     ,C              ,48450
MIM     ,1770      ,3670      ,4240      ,4550      ,D              ,1770
HHP     ,2790      ,5450      ,6300      ,6750      ,B              ,6300
MKV     ,5370      ,7950      ,8630      ,9000      ,C              ,7950
HHS     ,2780      ,4950      ,5740      ,6170      ,A              ,6170
MST     ,8540      ,12550     ,13650     ,14250     ,C              ,12550
HID     ,2000      ,4250      ,4970      ,5350      ,C              ,4250
MVB     ,7860      ,12900     ,14450     ,15350     ,Not enough data,7860
HII     ,7260      ,11350     ,12450     ,13000     ,B              ,12450
NAG     ,6240      ,8870      ,9630      ,9990      ,C              ,8870
HMC     ,7320      ,12600     ,14100     ,14900     ,A              ,14900
NAP     ,1150      ,3200      ,4010      ,4470      ,A              ,4470
HNG     ,2700      ,4970      ,5640      ,6000      ,D              ,2700
NBC     ,2400      ,5440      ,6490      ,7120      ,C              ,5440
HOT     ,6110      ,13250     ,15550     ,16750     ,B              ,15550
NBP     ,5730      ,9360      ,10350     ,10950     ,A              ,10950
HPG     ,18250     ,27450     ,29950     ,31250     ,A              ,31250
NBW     ,4640      ,10100     ,11700     ,12600     ,A              ,12600
HPX     ,12600     ,19800     ,21800     ,22850     ,C              ,19800
NDN     ,6860      ,11100     ,12300     ,12900     ,A              ,12900
HQC     ,1060      ,2460      ,2930      ,3190      ,C              ,2460
NDX     ,3470      ,6010      ,6680      ,7050      ,B              ,6680
NET     ,28350     ,36550     ,39150     ,40500     ,A              ,40500
HRC     ,6240      ,16800     ,20500     ,22550     ,C              ,16800
NFC     ,5010      ,7780      ,8690      ,9120      ,A              ,9120
HSG     ,14100     ,20900     ,22850     ,23950     ,A              ,23950
NHC     ,9320      ,16300     ,18200     ,19150     ,A              ,19150
HSL     ,1830      ,3740      ,4340      ,4660      ,B              ,4340
NRC     ,8430      ,14200     ,16200     ,17200     ,B              ,16200
HT1     ,6550      ,11700     ,13300     ,14100     ,B              ,13300
NSH     ,1240      ,3470      ,4280      ,4740      ,C              ,3470
HTI     ,10100     ,13600     ,14650     ,15150     ,B              ,14650
NST     ,3250      ,5350      ,5910      ,6200      ,B              ,5910
HTL     ,4120      ,8780      ,10250     ,11050     ,B              ,10250
NTH     ,15800     ,23450     ,25400     ,26400     ,A              ,26400
HTN     ,7480      ,16050     ,18950     ,20550     ,B              ,18950
NTP     ,30350     ,41600     ,44500     ,46200     ,B              ,44500
HTV     ,5900      ,8850      ,9590      ,9980      ,A              ,9980
OCH     ,2670      ,4670      ,5260      ,5610      ,C              ,4670
HU1     ,1760      ,4350      ,5240      ,5720      ,B              ,5240
ONE     ,3170      ,4950      ,5440      ,5740      ,C              ,4950
HU3     ,1960      ,3750      ,4340      ,4690      ,C              ,3750
PBP     ,1050      ,3140      ,3940      ,4390      ,B              ,3940
HUB     ,15600     ,22000     ,23600     ,24600     ,A              ,24600
PCE     ,3460      ,7890      ,9440      ,10300     ,A              ,10300
HVH     ,2770      ,5370      ,6160      ,6570      ,B              ,6160
HVN     ,10650     ,15200     ,16500     ,17200     ,C              ,15200
PCG     ,810       ,2580      ,3250      ,3650      ,B              ,3250
HVX     ,1590      ,3150      ,3660      ,3960      ,B              ,3660
PCT     ,1080      ,2500      ,3040      ,3360      ,A              ,3360
IBC     ,14300     ,16550     ,17150     ,17500     ,Not enough data,14300
PDB     ,3620      ,8220      ,9830      ,10700     ,B              ,9830
ICT     ,7530      ,11450     ,12550     ,13100     ,C              ,11450
PDC     ,660       ,1890      ,2350      ,2610      ,D              ,660
IDI     ,3660      ,6890      ,7910      ,8450      ,B              ,7910
PEN     ,3560      ,5550      ,6230      ,6550      ,C              ,5550
IJC     ,6210      ,12500     ,14450     ,15600     ,B              ,14450
PGN     ,5360      ,8440      ,9280      ,9800      ,B              ,9280
ILB     ,9790      ,16350     ,18400     ,19550     ,C              ,16350
PGS     ,9090      ,14300     ,15750     ,16550     ,C              ,14300
IMP     ,44900     ,56800     ,60200     ,61700     ,A              ,61700
PGT     ,1490      ,3260      ,3990      ,4420      ,A              ,4420
ITA     ,3420      ,6650      ,7700      ,8260      ,B              ,7700
PHN     ,11500     ,21550     ,24400     ,26000     ,A              ,26000
ITC     ,8640      ,13550     ,14850     ,15650     ,Not enough data,8640
PHP     ,9790      ,15350     ,17100     ,18000     ,A              ,18000
ITD     ,4320      ,8060      ,9310      ,10050     ,C              ,8060
PIA     ,11400     ,16400     ,17750     ,18400     ,A              ,18400
JVC     ,1630      ,3480      ,4060      ,4380      ,Not enough data,1630
PIC     ,3880      ,6490      ,7250      ,7650      ,A              ,7650
